folder,case_id,dice_avg,hd95_avg,dice_class_1,avg_mbps,bits_per_voxel
libaom_av1_crf33,00583,0.8148860290,6.2526392937,0.8148860290,,
libaom_av1_crf33,00602,0.9040838058,3.0805823803,0.9040838058,,
libaom_av1_crf33,00866,0.8796887100,4.5171313286,0.8796887100,,
libaom_av1_crf33,00665,0.8400328240,4.9410967827,0.8400328240,,
libaom_av1_crf33,00788,0.9177112646,3.1968715191,0.9177112646,,
libaom_av1_crf33,00759,0.8471311190,7.9689326286,0.8471311190,,
libaom_av1_crf33,00761,0.8608810402,4.9738183022,0.8608810402,,
libaom_av1_crf33,00802,0.7936665444,6.4127454758,0.7936665444,,
libaom_av1_crf33,01057,0.8373646176,4.3414626122,0.8373646176,,
libaom_av1_crf33,01122,0.8211457915,4.3178000450,0.8211457915,,
libaom_av1_crf33,01043,0.7245664257,7.6501564980,0.7245664257,,
libaom_av1_crf33,01202,0.8772542608,7.1217947006,0.8772542608,,
libaom_av1_crf33,00961,0.8449307710,4.5030822754,0.8449307710,,
libaom_av1_crf33,01230,0.8477177300,4.3289146423,0.8477177300,,
libaom_av1_crf33,01258,0.8750435426,3.8859685302,0.8750435426,,
libaom_av1_crf33,01333,0.8843927808,3.7843317986,0.8843927808,,
libaom_av1_crf33,01385,0.8319821462,6.9488434792,0.8319821462,,
libaom_av1_crf33,01162,0.8031836008,5.5298190594,0.8031836008,,
libaom_av1_crf33,01443,0.7688959761,12.3467991352,0.7688959761,,
libaom_av1_crf33,01283,0.9180956734,2.5946452618,0.9180956734,,
libaom_av1_crf33,01305,0.9068232926,3.1457214355,0.9068232926,,
libaom_av1_crf33,01370,0.8743127980,4.2705714464,0.8743127980,,
libaom_av1_crf33,01563,0.8481019225,4.1706242561,0.8481019225,,
libaom_av1_crf33,01400,0.8572321691,4.1856865883,0.8572321691,,
libaom_av1_crf33,01419,0.7535645065,7.7316770554,0.7535645065,,
libaom_av1_crf33,01738,0.8306803511,4.4493370056,0.8306803511,,
libaom_av1_crf33,01711,0.7296115256,7.2697303295,0.7296115256,,
libaom_av1_crf33,01535,0.8680342967,4.6274538040,0.8680342967,,
libaom_av1_crf38,00041,0.8761054895,3.9321498871,0.8761054895,,
libaom_av1_crf33,01567,0.8273904193,8.3524703979,0.8273904193,,
libaom_av1_crf33,01618,0.8124219487,5.7081551552,0.8124219487,,
libaom_av1_crf33,01636,0.8606315890,6.0760865211,0.8606315890,,
libaom_av1_crf38,00066,0.8288205409,5.8297080994,0.8288205409,,
libaom_av1_crf38,00132,0.7676661998,5.4111986160,0.7676661998,,
libaom_av1_crf38,00084,0.8071237183,5.5077695847,0.8071237183,,
libaom_av1_crf38,00085,0.8514272413,4.1856927872,0.8514272413,,
libaom_av1_crf38,00225,0.8590284821,5.8787751198,0.8590284821,,
libaom_av1_crf38,00086,0.8115182931,6.0146107674,0.8115182931,,
libaom_av1_crf38,00088,0.8420928541,4.8079806805,0.8420928541,,
libaom_av1_crf38,00208,0.8606369446,4.9982137680,0.8606369446,,
libaom_av1_crf38,00244,0.8373741886,7.8993649483,0.8373741886,,
libaom_av1_crf38,00296,0.7757481896,10.0637938976,0.7757481896,,
libaom_av1_crf38,00509,0.8196066408,5.5722815037,0.8196066408,,
libaom_av1_crf38,00523,0.8224725510,5.5266056061,0.8224725510,,
libaom_av1_crf38,00358,0.8559863108,4.0013928413,0.8559863108,,
libaom_av1_crf38,00295,0.8146669041,5.6960067749,0.8146669041,,
libaom_av1_crf38,00429,0.8879797806,2.7455978394,0.8879797806,,
libaom_av1_crf38,00482,0.9005285473,3.8859047890,0.9005285473,,
libaom_av1_crf38,00512,0.8386821047,4.6010813713,0.8386821047,,
libaom_av1_crf38,00552,0.8123564780,5.8157792091,0.8123564780,,
libaom_av1_crf38,00583,0.8174074145,6.1347783804,0.8174074145,,
libaom_av1_crf38,00602,0.8965384013,3.2221393585,0.8965384013,,
libaom_av1_crf38,00759,0.8560709889,5.2055479050,0.8560709889,,
libaom_av1_crf38,00665,0.8173660630,5.7102203369,0.8173660630,,
libaom_av1_crf38,00866,0.8786187044,4.1209983826,0.8786187044,,
libaom_av1_crf38,00761,0.8566036912,5.2591700554,0.8566036912,,
libaom_av1_crf38,00788,0.9176732466,3.2967964411,0.9176732466,,
libaom_av1_crf38,00802,0.7781587780,6.6303973198,0.7781587780,,
libaom_av1_crf38,01043,0.7185336176,7.9761018753,0.7185336176,,
libaom_av1_crf38,01122,0.8187874529,4.2164564133,0.8187874529,,
libaom_av1_crf38,01057,0.8360802922,4.7650968790,0.8360802922,,
libaom_av1_crf38,01202,0.8810171771,6.9397421360,0.8810171771,,
libaom_av1_crf38,01230,0.8499823972,4.3400039673,0.8499823972,,
libaom_av1_crf38,01258,0.8595467852,4.6716489792,0.8595467852,,
libaom_av1_crf38,00961,0.8391803514,4.5030841827,0.8391803514,,
libaom_av1_crf38,01333,0.8849626775,3.6652424335,0.8849626775,,
libaom_av1_crf38,01162,0.7960348543,5.5590739250,0.7960348543,,
libaom_av1_crf38,01385,0.8341995641,7.1288933754,0.8341995641,,
libaom_av1_crf38,01283,0.9112790773,2.9870071411,0.9112790773,,
libaom_av1_crf38,01443,0.7762382197,11.8441019058,0.7762382197,,
libaom_av1_crf38,01305,0.8994361477,3.2609313488,0.8994361477,,
libaom_av1_crf38,01563,0.8420719769,4.3177995682,0.8420719769,,
libaom_av1_crf38,01370,0.8737758608,3.9872000217,0.8737758608,,
libaom_av1_crf38,01400,0.8529496046,4.3472824097,0.8529496046,,
libaom_av1_crf38,01419,0.7453756951,7.8203392029,0.7453756951,,
libaom_av1_crf38,01535,0.8522794057,5.3509025574,0.8522794057,,
libaom_av1_crf38,01738,0.8341954634,4.3066557884,0.8341954634,,
libaom_av1_crf38,01711,0.7252054841,7.9124941826,0.7252054841,,
libaom_av1_crf43,00041,0.8657784449,4.5729002953,0.8657784449,,
libaom_av1_crf38,01567,0.8262543039,8.1441124439,0.8262543039,,
libaom_av1_crf38,01618,0.8150346179,5.6090583801,0.8150346179,,
libaom_av1_crf38,01636,0.8462562364,7.0371932983,0.8462562364,,
libaom_av1_crf43,00066,0.8322811019,5.9263005257,0.8322811019,,
libaom_av1_crf43,00085,0.8318901550,5.4856331110,0.8318901550,,
libaom_av1_crf43,00084,0.7959162961,6.0146064758,0.7959162961,,
libaom_av1_crf43,00225,0.8681736392,5.9598717690,0.8681736392,,
libaom_av1_crf43,00086,0.8131558313,6.3491826057,0.8131558313,,
libaom_av1_crf43,00244,0.8371564371,9.2173786163,0.8371564371,,
libaom_av1_crf43,00208,0.8532444726,5.3886651993,0.8532444726,,
libaom_av1_crf43,00132,0.7573110620,5.4798431396,0.7573110620,,
libaom_av1_crf43,00088,0.8426256220,4.7826051712,0.8426256220,,
libaom_av1_crf43,00296,0.7602366706,10.1823358536,0.7602366706,,
libaom_av1_crf43,00509,0.8166803369,5.4341058731,0.8166803369,,
libaom_av1_crf43,00523,0.8094253907,6.1113851309,0.8094253907,,
libaom_av1_crf43,00429,0.8777439572,3.1670706272,0.8777439572,,
libaom_av1_crf43,00358,0.8529339176,4.2211189270,0.8529339176,,
libaom_av1_crf43,00295,0.7838493898,6.3107461929,0.7838493898,,
libaom_av1_crf43,00482,0.8920828876,4.4793639183,0.8920828876,,
libaom_av1_crf43,00512,0.8325625059,4.5834236145,0.8325625059,,
libaom_av1_crf43,00552,0.8212132895,5.3735985756,0.8212132895,,
libaom_av1_crf43,00583,0.8055665510,6.0949845314,0.8055665510,,
libaom_av1_crf43,00866,0.8824310560,4.3015656471,0.8824310560,,
libaom_av1_crf43,00759,0.8529791547,6.3916759253,0.8529791547,,
libaom_av1_crf43,00602,0.8812802269,3.9153490067,0.8812802269,,
libaom_av1_crf43,00665,0.8157114231,5.7667598724,0.8157114231,,
libaom_av1_crf43,00761,0.8541416398,5.5809187889,0.8541416398,,
libaom_av1_crf43,00788,0.9094281880,3.8945773840,0.9094281880,,
libaom_av1_crf43,00802,0.7713235892,6.9819579124,0.7713235892,,
libaom_av1_crf43,01043,0.7097149567,8.2602085590,0.7097149567,,
libaom_av1_crf43,01057,0.8361752539,4.6598410606,0.8361752539,,
libaom_av1_crf43,01122,0.8188513500,4.0300002098,0.8188513500,,
libaom_av1_crf43,01258,0.8477755198,4.8906607628,0.8477755198,,
libaom_av1_crf43,01202,0.8827075711,4.9638702393,0.8827075711,,
libaom_av1_crf43,01230,0.8405124027,4.5560465813,0.8405124027,,
libaom_av1_crf43,00961,0.8423004300,4.4850344658,0.8423004300,,
libaom_av1_crf43,01162,0.7853184234,6.1545843601,0.7853184234,,
libaom_av1_crf43,01333,0.8911556272,3.5242207289,0.8911556272,,
libaom_av1_crf43,01385,0.8543178654,6.5061362743,0.8543178654,,
libaom_av1_crf43,01283,0.8817836157,4.1173035145,0.8817836157,,
libaom_av1_crf43,01305,0.9022061157,3.2967991829,0.9022061157,,
libaom_av1_crf43,01443,0.7605468821,11.8807106018,0.7605468821,,
